Rank	Full Journal Title	Journal Impact Factor
1	CA-A CANCER JOURNAL FOR CLINICIANS	292.278
2	NEW ENGLAND JOURNAL OF MEDICINE	74.699
3	Nature Reviews Materials	71.189
4	NATURE REVIEWS DRUG DISCOVERY	64.797
5	LANCET	60.392
6	WHO Technical Report Series	59.000
7	NATURE REVIEWS MOLECULAR CELL BIOLOGY	55.470
8	Nature Reviews Clinical Oncology	53.276
9	NATURE REVIEWS CANCER	53.030
10	CHEMICAL REVIEWS	52.758
11	Nature Energy	46.495
12	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	45.540
13	REVIEWS OF MODERN PHYSICS	45.037
14	CHEMICAL SOCIETY REVIEWS	42.846
15	NATURE	42.778
16	SCIENCE	41.845
17	Nature Reviews Disease Primers	40.689
18	World Psychiatry	40.595
18	World Psychiatry	40.595
20	NATURE REVIEWS IMMUNOLOGY	40.358
21	NATURE MATERIALS	38.663
22	CELL	38.637
23	NATURE BIOTECHNOLOGY	36.558
24	NATURE MEDICINE	36.130
25	Living Reviews in Relativity	35.429
26	Nature Reviews Chemistry	34.953
27	NATURE REVIEWS MICROBIOLOGY	34.209
28	LANCET ONCOLOGY	33.752
29	NATURE REVIEWS NEUROSCIENCE	33.654
30	NATURE REVIEWS GENETICS	33.133
31	Annual Review of Astronomy and Astrophysics	32.963
32	JOURNAL OF CLINICAL ONCOLOGY	32.956
33	PROGRESS IN MATERIALS SCIENCE	31.560
34	Nature Nanotechnology	31.538
35	Nature Photonics	31.241
36	NATURE METHODS	30.822
37	Nature Catalysis	30.471
38	Energy & Environmental Science	30.289
39	BMJ-British Medical Journal	30.223
40	LANCET NEUROLOGY	30.039
41	Nature Reviews Gastroenterology & Hepatology	29.848
42	Cancer Discovery	29.497
43	PROGRESS IN ENERGY AND COMBUSTION SCIENCE	28.938
44	Nature Reviews Endocrinology	28.800
45	NATURE GENETICS	27.603
46	Nature Electronics	27.500
47	ADVANCED MATERIALS	27.398
48	Joule	27.054
49	Nature Reviews Neurology	27.000
50	MATERIALS SCIENCE & ENGINEERING R-REPORTS	26.625
51	CANCER CELL	26.602
52	Materials Today	26.416
53	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	25.798
54	Annual Review of Biochemistry	25.787
55	PHYSIOLOGICAL REVIEWS	25.588
56	Lancet Diabetes & Endocrinology	25.340
57	Advanced Energy Materials	25.245
58	Lancet Respiratory Medicine	25.094
59	JAMA Oncology	24.799
60	LANCET INFECTIOUS DISEASES	24.446
